"SOM","DistinguishedName","BlockInheritance","LinkEnabled","Enforced","Precedence","DisplayName","GPOStatus","WMIFilter","GUID","PolicyDN"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","1","Default Domain Policy","AllSettingsDisabled",,"{31b2f340-016d-11d2-945f-00c04fb984f9}","cn={31B2F340-016D-11D2-945F-00C04FB984F9},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","2","AJG Corp Domain Policy","UserSettingsDisabled",,"{4f4172e4-dc88-4f9d-82f7-694f8a9e80a3}","cn={4F4172E4-DC88-4F9D-82F7-694F8A9E80A3},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","3","AJG Disable Auto Update Workstations","UserSettingsDisabled",,"{03788fc7-a16f-467d-a903-ea4b44d7f2c4}","cn={03788FC7-A16F-467D-A903-EA4B44D7F2C4},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","4","AJG Screensaver Policy","ComputerSettingsDisabled","Win XP Workstations","{979d4ce8-9455-4ce2-96eb-83a326871d27}","cn={979D4CE8-9455-4CE2-96EB-83A326871D27},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","5","AJG Workstation Firewall Policy","UserSettingsDisabled",,"{fa7d2af0-de5e-45ae-bd31-01a44e82afd6}","cn={FA7D2AF0-DE5E-45AE-BD31-01A44E82AFD6},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","6","AJG Corp IE Policy","ComputerSettingsDisabled",,"{c92822e4-ca19-4dc0-9289-0a9874ec0241}","cn={C92822E4-CA19-4DC0-9289-0A9874EC0241},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","False","False","7","AJG Workstation SW Distribution Policy ","AllSettingsDisabled","Workstations Only","{5c84194b-2661-4f9a-a314-fdafef67268a}","cn={5C84194B-2661-4F9A-A314-FDAFEF67268A},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","8","AJG Outlook Today Policy","AllSettingsEnabled",,"{b4beb3ff-fd94-4417-94e3-87132320536a}","cn={B4BEB3FF-FD94-4417-94E3-87132320536A},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","9","AJG Screensaver Policy - Windows 7","ComputerSettingsDisabled","Win 7 Workstations","{1d6a39cd-2042-4b52-980d-9619c753f589}","cn={1D6A39CD-2042-4B52-980D-9619C753F589},cn=policies,cn=system,DC=corp,DC=ajgco,DC=com"
"corp","DC=corp,DC=ajgco,DC=com","False","True","False","10",,,,"{}","cn={DA9628EA-85F9-44F8-8CF8-11A675C38A73},cn=policies,cn=system,DC=ajgco,DC=com"
